datasetb;;;
country;speciescode;speciesname;nationally_hunted
AT;A036;Cygnus olor;No
AT;A036;Cygnus olor;No
DE;A036;Cygnus olor;Yes
BE;A040-A;Anser brachyrhynchus;No
DK;A040-A;Anser brachyrhynchus;Yes
IE;A040-B;Anser brachyrhynchus;No
UK;A040-B;Anser brachyrhynchus;Yes
GR;A043;Anser anser;No
GR;A043;Anser anser;No
FI;A043;Anser anser;Yes
FR;A043;Anser anser;Yes
HR;A043;Anser anser;No
HR;A043;Anser anser;No
RO;A043;Anser anser;Yes
ES;A043;Anser anser;Yes
ES;A043;Anser anser;Yes
UK;A043;Anser anser;Yes
UK;A043;Anser anser;Yes
HU;A043;Anser anser;Yes
HU;A043;Anser anser;Yes
BG;A043;Anser anser;No
BG;A043;Anser anser;No
CZ;A043;Anser anser;Yes
DE;A043;Anser anser;Yes
DK;A043;Anser anser;Yes
EE;A043;Anser anser;Yes
SI;A043;Anser anser;No
SI;A043;Anser anser;No
SK;A043;Anser anser;Yes
AT;A043;Anser anser;Yes
BE;A043;Anser anser;Yes
BG;A043;Anser anser;No
LV;A043;Anser anser;Yes
NL;A043;Anser anser;No
NL;A043;Anser anser;No
PT;A043;Anser anser;No
SE;A043;Anser anser;Yes
PL;A043;Anser anser;Yes
HR;A043;Anser anser;No
IE;A043;Anser anser;Yes
IT;A043;Anser anser;No
IT;A043;Anser anser;No
LT;A043;Anser anser;No
LT;A043;Anser anser;No
IE;A043-X;Anser anser;Yes
FI;A044-X;Branta canadensis;Yes
FR;A044-X;Branta canadensis;Yes
IE;A044-X;Branta canadensis;Yes
LU;A044-X;Branta canadensis;No
NL;A044-X;Branta canadensis;No
SE;A044-X;Branta canadensis;Yes
PL;A044-X;Branta canadensis;No
BE;A044-X;Branta canadensis;Yes
DE;A044-X;Branta canadensis;Yes
DK;A044-X;Branta canadensis;No
UK;A044-X;Branta canadensis;Yes
GR;A052;Anas crecca;Yes
FI;A052;Anas crecca;Yes
FR;A052;Anas crecca;Yes
HR;A052;Anas crecca;Yes
HR;A052;Anas crecca;Yes
IE;A052;Anas crecca;Yes
UK;A052;Anas crecca;Yes
HU;A052;Anas crecca;No
HU;A052;Anas crecca;No
RO;A052;Anas crecca;Yes
DE;A052;Anas crecca;Yes
DK;A052;Anas crecca;Yes
EE;A052;Anas crecca;Yes
ES;A052;Anas crecca;Yes
SK;A052;Anas crecca;No
UK;A052;Anas crecca;Yes
SI;A052;Anas crecca;No
AT;A052;Anas crecca;Yes
BE;A052;Anas crecca;Yes
BG;A052;Anas crecca;Yes
CY;A052;Anas crecca;Yes
CZ;A052;Anas crecca;No
NL;A052;Anas crecca;No
PT;A052;Anas crecca;Yes
SE;A052;Anas crecca;Yes
PL;A052;Anas crecca;Yes
PT;A052;Anas crecca;Yes
SI;A052;Anas crecca;No
IT;A052;Anas crecca;Yes
LT;A052;Anas crecca;Yes
LU;A052;Anas crecca;No
LV;A052;Anas crecca;Yes
MT;A052;Anas crecca;Yes
NL;A052;Anas crecca;No
GR;A053;Anas platyrhynchos;Yes
FI;A053;Anas platyrhynchos;Yes
FR;A053;Anas platyrhynchos;Yes
HR;A053;Anas platyrhynchos;Yes
HR;A053;Anas platyrhynchos;Yes
HR;A053;Anas platyrhynchos;Yes
UK;A053;Anas platyrhynchos;No
UK;A053;Anas platyrhynchos;Yes
HU;A053;Anas platyrhynchos;Yes
HU;A053;Anas platyrhynchos;Yes
RO;A053;Anas platyrhynchos;Yes
CZ;A053;Anas platyrhynchos;Yes
DE;A053;Anas platyrhynchos;Yes
DK;A053;Anas platyrhynchos;Yes
EE;A053;Anas platyrhynchos;Yes
ES;A053;Anas platyrhynchos;Yes
SK;A053;Anas platyrhynchos;Yes
PT;A053;Anas platyrhynchos;Yes
SI;A053;Anas platyrhynchos;Yes
AT;A053;Anas platyrhynchos;Yes
BE;A053;Anas platyrhynchos;Yes
BG;A053;Anas platyrhynchos;Yes
CY;A053;Anas platyrhynchos;Yes
MT;A053;Anas platyrhynchos;Yes
NL;A053;Anas platyrhynchos;No
NL;A053;Anas platyrhynchos;No
PT;A053;Anas platyrhynchos;Yes
SE;A053;Anas platyrhynchos;Yes
PL;A053;Anas platyrhynchos;Yes
IE;A053;Anas platyrhynchos;Yes
IT;A053;Anas platyrhynchos;Yes
LT;A053;Anas platyrhynchos;Yes
LU;A053;Anas platyrhynchos;Yes
LV;A053;Anas platyrhynchos;Yes
MT;A053;Anas platyrhynchos;Yes
GR;A054;Anas acuta;Yes
FI;A054;Anas acuta;Yes
FR;A054;Anas acuta;Yes
HR;A054;Anas acuta;No
HR;A054;Anas acuta;No
IE;A054;Anas acuta;Yes
UK;A054;Anas acuta;Yes
HU;A054;Anas acuta;No
HU;A054;Anas acuta;No
RO;A054;Anas acuta;Yes
CZ;A054;Anas acuta;No
DE;A054;Anas acuta;Yes
DK;A054;Anas acuta;Yes
EE;A054;Anas acuta;Yes
ES;A054;Anas acuta;Yes
UK;A054;Anas acuta;No
AT;A054;Anas acuta;Yes
BE;A054;Anas acuta;No
BE;A054;Anas acuta;No
BE;A054;Anas acuta;No
BG;A054;Anas acuta;Yes
CY;A054;Anas acuta;Yes
PL;A054;Anas acuta;No
PL;A054;Anas acuta;No
PT;A054;Anas acuta;No
SI;A054;Anas acuta;No
SI;A054;Anas acuta;No
SK;A054;Anas acuta;No
NL;A054;Anas acuta;No
PT;A054;Anas acuta;Yes
SE;A054;Anas acuta;No
SE;A054;Anas acuta;No
SE;A054;Anas acuta;No
PL;A054;Anas acuta;No
IT;A054;Anas acuta;Yes
LT;A054;Anas acuta;No
LT;A054;Anas acuta;No
LV;A054;Anas acuta;Yes
MT;A054;Anas acuta;Yes
NL;A054;Anas acuta;No
FR;A058;Netta rufina;Yes
ES;A058;Netta rufina;Yes
ES;A058;Netta rufina;Yes
GR;A059;Aythya ferina;Yes
FI;A059;Aythya ferina;Yes
FR;A059;Aythya ferina;Yes
HR;A059;Aythya ferina;Yes
HR;A059;Aythya ferina;Yes
HR;A059;Aythya ferina;Yes
UK;A059;Aythya ferina;Yes
HU;A059;Aythya ferina;No
HU;A059;Aythya ferina;No
RO;A059;Aythya ferina;Yes
DK;A059;Aythya ferina;Yes
EE;A059;Aythya ferina;Yes
ES;A059;Aythya ferina;Yes
ES;A059;Aythya ferina;Yes
SK;A059;Aythya ferina;Yes
UK;A059;Aythya ferina;No
BG;A059;Aythya ferina;No
BG;A059;Aythya ferina;No
BG;A059;Aythya ferina;No
CY;A059;Aythya ferina;Yes
CZ;A059;Aythya ferina;Yes
DE;A059;Aythya ferina;Yes
PL;A059;Aythya ferina;Yes
SI;A059;Aythya ferina;No
SI;A059;Aythya ferina;No
AT;A059;Aythya ferina;Yes
BE;A059;Aythya ferina;No
BE;A059;Aythya ferina;No
MT;A059;Aythya ferina;Yes
NL;A059;Aythya ferina;No
NL;A059;Aythya ferina;No
PT;A059;Aythya ferina;Yes
SE;A059;Aythya ferina;No
SE;A059;Aythya ferina;No
IE;A059;Aythya ferina;Yes
IT;A059;Aythya ferina;Yes
LT;A059;Aythya ferina;Yes
LU;A059;Aythya ferina;No
LU;A059;Aythya ferina;No
LV;A059;Aythya ferina;Yes
GR;A061;Aythya fuligula;Yes
FI;A061;Aythya fuligula;Yes
FR;A061;Aythya fuligula;Yes
HR;A061;Aythya fuligula;Yes
HR;A061;Aythya fuligula;Yes
HR;A061;Aythya fuligula;Yes
SK;A061;Aythya fuligula;Yes
UK;A061;Aythya fuligula;Yes
HU;A061;Aythya fuligula;No
HU;A061;Aythya fuligula;No
RO;A061;Aythya fuligula;Yes
CY;A061;Aythya fuligula;Yes
CZ;A061;Aythya fuligula;Yes
DE;A061;Aythya fuligula;Yes
DK;A061;Aythya fuligula;Yes
EE;A061;Aythya fuligula;Yes
ES;A061;Aythya fuligula;Yes
SI;A061;Aythya fuligula;No
SI;A061;Aythya fuligula;No
AT;A061;Aythya fuligula;Yes
BE;A061;Aythya fuligula;No
BE;A061;Aythya fuligula;No
BG;A061;Aythya fuligula;Yes
NL;A061;Aythya fuligula;No
NL;A061;Aythya fuligula;No
PT;A061;Aythya fuligula;Yes
SE;A061;Aythya fuligula;Yes
PL;A061;Aythya fuligula;Yes
PT;A061;Aythya fuligula;No
IE;A061;Aythya fuligula;Yes
IT;A061;Aythya fuligula;Yes
LT;A061;Aythya fuligula;Yes
LU;A061;Aythya fuligula;No
LU;A061;Aythya fuligula;No
LV;A061;Aythya fuligula;Yes
GR;A062;Aythya marila;No
FR;A062;Aythya marila;Yes
IE;A062;Aythya marila;Yes
LV;A062;Aythya marila;Yes
NL;A062;Aythya marila;No
BE;A062;Aythya marila;No
DE;A062;Aythya marila;Yes
DK;A062;Aythya marila;Yes
UK;A062;Aythya marila;No
UK;A062;Aythya marila;No
RO;A062;Aythya marila;Yes
FI;A063;Somateria mollissima;Yes
FR;A063;Somateria mollissima;No
IE;A063;Somateria mollissima;No
IE;A063;Somateria mollissima;No
SE;A063;Somateria mollissima;Yes
DK;A063;Somateria mollissima;Yes
EE;A063;Somateria mollissima;Yes
FI;A064;Clangula hyemalis;Yes
IE;A064;Clangula hyemalis;No
LV;A064;Clangula hyemalis;Yes
SE;A064;Clangula hyemalis;Yes
DK;A064;Clangula hyemalis;Yes
EE;A064;Clangula hyemalis;Yes
UK;A064;Clangula hyemalis;No
FI;A066;Melanitta fusca;No
FI;A066;Melanitta fusca;No
FI;A066;Melanitta fusca;No
IE;A066;Melanitta fusca;No
DE;A066;Melanitta fusca;Yes
DK;A066;Melanitta fusca;Yes
UK;A066;Melanitta fusca;No
LV;A066;Melanitta fusca;Yes
SE;A066;Melanitta fusca;No
SE;A066;Melanitta fusca;No
GR;A067;Bucephala clangula;No
FI;A067;Bucephala clangula;Yes
FR;A067;Bucephala clangula;No
IE;A067;Bucephala clangula;Yes
LT;A067;Bucephala clangula;Yes
LV;A067;Bucephala clangula;Yes
HU;A067;Bucephala clangula;No
RO;A067;Bucephala clangula;Yes
SE;A067;Bucephala clangula;Yes
AT;A067;Bucephala clangula;Yes
DK;A067;Bucephala clangula;Yes
EE;A067;Bucephala clangula;Yes
UK;A067;Bucephala clangula;No
UK;A067;Bucephala clangula;Yes
FI;A069;Mergus serrator;Yes
IE;A069;Mergus serrator;No
IE;A069;Mergus serrator;No
MT;A069;Mergus serrator;Yes
SE;A069;Mergus serrator;Yes
DK;A069;Mergus serrator;Yes
FI;A070;Mergus merganser;Yes
IE;A070;Mergus merganser;No
SE;A070;Mergus merganser;Yes
DK;A070;Mergus merganser;Yes
FI;A104;Bonasa bonasia;Yes
FR;A104;Bonasa bonasia;Yes
RO;A104;Bonasa bonasia;Yes
SK;A104;Bonasa bonasia;Yes
AT;A104;Bonasa bonasia;Yes
EE;A104;Bonasa bonasia;Yes
LV;A104;Bonasa bonasia;Yes
SE;A104;Bonasa bonasia;Yes
PL;A104;Bonasa bonasia;No
FR;A110;Alectoris rufa;Yes
IT;A110;Alectoris rufa;Yes
PT;A110;Alectoris rufa;Yes
ES;A110;Alectoris rufa;Yes
PT;A110-X;Alectoris rufa;No
PT;A110-X;Alectoris rufa;No
ES;A110-X;Alectoris rufa;Yes
UK;A110-X;Alectoris rufa;Yes
IT;A111;Alectoris barbara;Yes
ES;A111;Alectoris barbara;Yes
GR;A113;Coturnix coturnix;Yes
FR;A113;Coturnix coturnix;Yes
HR;A113;Coturnix coturnix;Yes
IT;A113;Coturnix coturnix;Yes
MT;A113;Coturnix coturnix;Yes
PT;A113;Coturnix coturnix;Yes
ES;A113;Coturnix coturnix;Yes
RO;A113;Coturnix coturnix;Yes
PT;A113;Coturnix coturnix;Yes
PT;A113;Coturnix coturnix;No
AT;A113;Coturnix coturnix;Yes
BG;A113;Coturnix coturnix;Yes
CY;A113;Coturnix coturnix;Yes
ES;A113;Coturnix coturnix;Yes
GR;A115;Phasianus colchicus;No
GR;A115-X;Phasianus colchicus;No
FI;A115-X;Phasianus colchicus;Yes
FR;A115-X;Phasianus colchicus;Yes
HR;A115-X;Phasianus colchicus;Yes
IE;A115-X;Phasianus colchicus;No
IT;A115-X;Phasianus colchicus;Yes
DE;A115-X;Phasianus colchicus;Yes
DK;A115-X;Phasianus colchicus;No
ES;A115-X;Phasianus colchicus;Yes
UK;A115-X;Phasianus colchicus;Yes
HU;A115-X;Phasianus colchicus;Yes
RO;A115-X;Phasianus colchicus;Yes
SI;A115-X;Phasianus colchicus;Yes
SK;A115-X;Phasianus colchicus;Yes
AT;A115-X;Phasianus colchicus;Yes
BE;A115-X;Phasianus colchicus;Yes
BG;A115-X;Phasianus colchicus;Yes
CZ;A115-X;Phasianus colchicus;Yes
LU;A115-X;Phasianus colchicus;Yes
LV;A115-X;Phasianus colchicus;Yes
NL;A115-X;Phasianus colchicus;No
PT;A115-X;Phasianus colchicus;Yes
SE;A115-X;Phasianus colchicus;Yes
PL;A115-X;Phasianus colchicus;Yes
FR;A118;Rallus aquaticus;Yes
IT;A118;Rallus aquaticus;Yes
MT;A118;Rallus aquaticus;Yes
GR;A123;Gallinula chloropus;Yes
FR;A123;Gallinula chloropus;Yes
IT;A123;Gallinula chloropus;Yes
MT;A123;Gallinula chloropus;Yes
PT;A123;Gallinula chloropus;Yes
PT;A123;Gallinula chloropus;No
PT;A123;Gallinula chloropus;No
BE;A123;Gallinula chloropus;No
UK;A123;Gallinula chloropus;Yes
RO;A123;Gallinula chloropus;Yes
GR;A125;Fulica atra;Yes
FI;A125;Fulica atra;Yes
FR;A125;Fulica atra;Yes
HR;A125;Fulica atra;Yes
HR;A125;Fulica atra;Yes
HR;A125;Fulica atra;Yes
UK;A125;Fulica atra;Yes
UK;A125;Fulica atra;No
HU;A125;Fulica atra;Yes
HU;A125;Fulica atra;Yes
RO;A125;Fulica atra;Yes
DK;A125;Fulica atra;Yes
EE;A125;Fulica atra;Yes
ES;A125;Fulica atra;Yes
ES;A125;Fulica atra;Yes
ES;A125;Fulica atra;No
SK;A125;Fulica atra;Yes
AT;A125;Fulica atra;Yes
BE;A125;Fulica atra;Yes
BG;A125;Fulica atra;Yes
CY;A125;Fulica atra;Yes
CZ;A125;Fulica atra;Yes
DE;A125;Fulica atra;Yes
SE;A125;Fulica atra;No
PL;A125;Fulica atra;Yes
PT;A125;Fulica atra;No
PT;A125;Fulica atra;No
SI;A125;Fulica atra;No
SI;A125;Fulica atra;No
LV;A125;Fulica atra;Yes
MT;A125;Fulica atra;Yes
NL;A125;Fulica atra;No
NL;A125;Fulica atra;No
PT;A125;Fulica atra;Yes
SE;A125;Fulica atra;No
IE;A125;Fulica atra;No
IE;A125;Fulica atra;No
IT;A125;Fulica atra;Yes
LT;A125;Fulica atra;Yes
LU;A125;Fulica atra;No
LU;A125;Fulica atra;No
FR;A130;Haematopus ostralegus;Yes
DK;A130;Haematopus ostralegus;No
DK;A130;Haematopus ostralegus;No
GR;A140;Pluvialis apricaria;No
FR;A140;Pluvialis apricaria;Yes
UK;A140;Pluvialis apricaria;Yes
UK;A140;Pluvialis apricaria;No
DK;A140;Pluvialis apricaria;No
BE;A140;Pluvialis apricaria;No
BE;A140;Pluvialis apricaria;No
MT;A140;Pluvialis apricaria;Yes
NL;A140;Pluvialis apricaria;No
PT;A140;Pluvialis apricaria;Yes
IE;A140;Pluvialis apricaria;Yes
FR;A141;Pluvialis squatarola;Yes
MT;A141;Pluvialis squatarola;Yes
DK;A141;Pluvialis squatarola;No
UK;A141;Pluvialis squatarola;No
GR;A142;Vanellus vanellus;Yes
FR;A142;Vanellus vanellus;Yes
IE;A142;Vanellus vanellus;No
IE;A142;Vanellus vanellus;No
IT;A142;Vanellus vanellus;Yes
MT;A142;Vanellus vanellus;Yes
BE;A142;Vanellus vanellus;No
BE;A142;Vanellus vanellus;No
DK;A142;Vanellus vanellus;No
DK;A142;Vanellus vanellus;No
ES;A142;Vanellus vanellus;Yes
FR;A143;Calidris canutus;Yes
DK;A143;Calidris canutus;No
GR;A152;Lymnocryptes minimus;No
FI;A152;Lymnocryptes minimus;No
FR;A152;Lymnocryptes minimus;Yes
HR;A152;Lymnocryptes minimus;No
IE;A152;Lymnocryptes minimus;Yes
IT;A152;Lymnocryptes minimus;Yes
ES;A152;Lymnocryptes minimus;Yes
UK;A152;Lymnocryptes minimus;Yes
HU;A152;Lymnocryptes minimus;No
RO;A152;Lymnocryptes minimus;Yes
BG;A152;Lymnocryptes minimus;No
CY;A152;Lymnocryptes minimus;Yes
CZ;A152;Lymnocryptes minimus;No
DE;A152;Lymnocryptes minimus;No
DK;A152;Lymnocryptes minimus;No
EE;A152;Lymnocryptes minimus;No
SE;A152;Lymnocryptes minimus;No
PL;A152;Lymnocryptes minimus;No
SI;A152;Lymnocryptes minimus;No
SK;A152;Lymnocryptes minimus;No
AT;A152;Lymnocryptes minimus;No
BE;A152;Lymnocryptes minimus;No
LT;A152;Lymnocryptes minimus;No
LU;A152;Lymnocryptes minimus;No
LV;A152;Lymnocryptes minimus;No
MT;A152;Lymnocryptes minimus;Yes
NL;A152;Lymnocryptes minimus;No
PT;A152;Lymnocryptes minimus;Yes
FI;A153;Gallinago gallinago;No
FR;A153;Gallinago gallinago;Yes
HR;A153;Gallinago gallinago;Yes
IE;A153;Gallinago gallinago;Yes
LT;A153;Gallinago gallinago;Yes
LU;A153;Gallinago gallinago;No
HU;A153;Gallinago gallinago;No
RO;A153;Gallinago gallinago;Yes
ES;A153;Gallinago gallinago;Yes
ES;A153;Gallinago gallinago;No
GR;A153;Gallinago gallinago;Yes
SK;A153;Gallinago gallinago;No
UK;A153;Gallinago gallinago;Yes
UK;A153;Gallinago gallinago;No
BG;A153;Gallinago gallinago;Yes
CY;A153;Gallinago gallinago;Yes
CZ;A153;Gallinago gallinago;No
DE;A153;Gallinago gallinago;No
DK;A153;Gallinago gallinago;No
EE;A153;Gallinago gallinago;Yes
PT;A153;Gallinago gallinago;Yes
SI;A153;Gallinago gallinago;No
SI;A153;Gallinago gallinago;No
AT;A153;Gallinago gallinago;Yes
BE;A153;Gallinago gallinago;No
BE;A153;Gallinago gallinago;No
LV;A153;Gallinago gallinago;No
MT;A153;Gallinago gallinago;Yes
NL;A153;Gallinago gallinago;No
PT;A153;Gallinago gallinago;Yes
SE;A153;Gallinago gallinago;No
PL;A153;Gallinago gallinago;No
GR;A155;Scolopax rusticola;Yes
FI;A155;Scolopax rusticola;Yes
FR;A155;Scolopax rusticola;Yes
HR;A155;Scolopax rusticola;Yes
IE;A155;Scolopax rusticola;Yes
IT;A155;Scolopax rusticola;Yes
HU;A155;Scolopax rusticola;Yes
RO;A155;Scolopax rusticola;Yes
DK;A155;Scolopax rusticola;No
EE;A155;Scolopax rusticola;Yes
ES;A155;Scolopax rusticola;Yes
ES;A155;Scolopax rusticola;No
SK;A155;Scolopax rusticola;Yes
UK;A155;Scolopax rusticola;No
AT;A155;Scolopax rusticola;Yes
BE;A155;Scolopax rusticola;Yes
BG;A155;Scolopax rusticola;Yes
CY;A155;Scolopax rusticola;Yes
CZ;A155;Scolopax rusticola;No
DE;A155;Scolopax rusticola;Yes
SE;A155;Scolopax rusticola;Yes
PL;A155;Scolopax rusticola;Yes
PT;A155;Scolopax rusticola;Yes
PT;A155;Scolopax rusticola;No
GIB;A155;Scolopax rusticola;No
SI;A155;Scolopax rusticola;No
LT;A155;Scolopax rusticola;Yes
LU;A155;Scolopax rusticola;No
LV;A155;Scolopax rusticola;Yes
MT;A155;Scolopax rusticola;Yes
NL;A155;Scolopax rusticola;No
PT;A155;Scolopax rusticola;Yes
FR;A156;Limosa limosa;No
FR;A156;Limosa limosa;No
FR;A157;Limosa lapponica;Yes
FR;A157;Limosa lapponica;Yes
DK;A157;Limosa lapponica;No
UK;A157;Limosa lapponica;No
FR;A158;Numenius phaeopus;Yes
GIB;A158;Numenius phaeopus;No
UK;A158;Numenius phaeopus;No
UK;A158;Numenius phaeopus;No
FR;A161;Tringa erythropus;Yes
FR;A162;Tringa totanus;Yes
IT;A162;Tringa totanus;No
DK;A162;Tringa totanus;No
UK;A162;Tringa totanus;No
UK;A162;Tringa totanus;No
FR;A164;Tringa nebularia;Yes
DK;A164;Tringa nebularia;No
SE;A179;Larus ridibundus;No
SK;A179;Larus ridibundus;No
AT;A179;Larus ridibundus;No
BE;A179;Larus ridibundus;No
BE;A179;Larus ridibundus;No
DE;A179;Larus ridibundus;Yes
DK;A179;Larus ridibundus;No
EE;A179;Larus ridibundus;Yes
ES;A179;Larus ridibundus;Yes
HU;A179;Larus ridibundus;No
FI;A182;Larus canus;No
SE;A182;Larus canus;Yes
DE;A182;Larus canus;Yes
DK;A182;Larus canus;No
EE;A182;Larus canus;Yes
FI;A187;Larus marinus;Yes
SE;A187;Larus marinus;Yes
DE;A187;Larus marinus;Yes
DK;A187;Larus marinus;No
EE;A187;Larus marinus;Yes
GR;A206;Columba livia;Yes
FR;A206;Columba livia;Yes
HR;A206;Columba livia;Yes
IE;A206;Columba livia;No
IT;A206;Columba livia;No
PT;A206;Columba livia;No
ES;A206;Columba livia;No
UK;A206;Columba livia;No
PT;A206;Columba livia;No
PT;A206;Columba livia;No
SI;A206;Columba livia;No
BG;A206;Columba livia;No
CY;A206;Columba livia;Yes
ES;A206;Columba livia;Yes
GR;A206-X;Columba livia;No
FI;A206-X;Columba livia;Yes
FR;A206-X;Columba livia;Yes
HR;A206-X;Columba livia;No
IE;A206-X;Columba livia;No
IT;A206-X;Columba livia;No
RO;A206-X;Columba livia;No
EE;A206-X;Columba livia;Yes
ES;A206-X;Columba livia;No
ES;A206-X;Columba livia;No
SK;A206-X;Columba livia;No
UK;A206-X;Columba livia;No
HU;A206-X;Columba livia;No
AT;A206-X;Columba livia;Yes
