datasetb;;;
BE;A206-X;Columba livia;No
BG;A206-X;Columba livia;No
CY;A206-X;Columba livia;No
CZ;A206-X;Columba livia;No
DK;A206-X;Columba livia;No
SE;A206-X;Columba livia;Yes
PL;A206-X;Columba livia;No
PT;A206-X;Columba livia;Yes
PT;A206-X;Columba livia;No
GIB;A206-X;Columba livia;No
SI;A206-X;Columba livia;No
LT;A206-X;Columba livia;No
LU;A206-X;Columba livia;No
LV;A206-X;Columba livia;Yes
MT;A206-X;Columba livia;Yes
NL;A206-X;Columba livia;No
PT;A206-X;Columba livia;Yes
GR;A207;Columba oenas;No
FR;A207;Columba oenas;Yes
PT;A207;Columba oenas;Yes
CY;A207;Columba oenas;Yes
ES;A207;Columba oenas;Yes
RO;A207;Columba oenas;Yes
FR;A209;Streptopelia decaocto;Yes
AT;A209;Streptopelia decaocto;Yes
BG;A209;Streptopelia decaocto;Yes
CY;A209;Streptopelia decaocto;Yes
HU;A209;Streptopelia decaocto;Yes
RO;A209;Streptopelia decaocto;Yes
CZ;A209;Streptopelia decaocto;Yes
DE;A209;Streptopelia decaocto;Yes
DK;A209;Streptopelia decaocto;No
SK;A209;Streptopelia decaocto;Yes
GR;A210;Streptopelia turtur;Yes
FR;A210;Streptopelia turtur;Yes
IT;A210;Streptopelia turtur;Yes
MT;A210;Streptopelia turtur;Yes
PT;A210;Streptopelia turtur;Yes
ES;A210;Streptopelia turtur;Yes
RO;A210;Streptopelia turtur;Yes
AT;A210;Streptopelia turtur;Yes
BG;A210;Streptopelia turtur;Yes
CY;A210;Streptopelia turtur;Yes
ES;A210;Streptopelia turtur;Yes
GR;A247;Alauda arvensis;Yes
FR;A247;Alauda arvensis;Yes
IT;A247;Alauda arvensis;Yes
MT;A247;Alauda arvensis;Yes
CY;A247;Alauda arvensis;Yes
RO;A247;Alauda arvensis;Yes
GR;A283;Turdus merula;Yes
FR;A283;Turdus merula;Yes
IT;A283;Turdus merula;Yes
MT;A283;Turdus merula;Yes
PT;A283;Turdus merula;No
SE;A283;Turdus merula;No
PT;A283;Turdus merula;No
PT;A283;Turdus merula;No
CY;A283;Turdus merula;Yes
GR;A284;Turdus pilaris;Yes
FI;A284;Turdus pilaris;Yes
FR;A284;Turdus pilaris;Yes
IT;A284;Turdus pilaris;Yes
MT;A284;Turdus pilaris;Yes
PT;A284;Turdus pilaris;Yes
SE;A284;Turdus pilaris;Yes
AT;A284;Turdus pilaris;No
CY;A284;Turdus pilaris;Yes
EE;A284;Turdus pilaris;Yes
ES;A284;Turdus pilaris;Yes
RO;A284;Turdus pilaris;Yes
GR;A285;Turdus philomelos;Yes
FR;A285;Turdus philomelos;Yes
IT;A285;Turdus philomelos;Yes
MT;A285;Turdus philomelos;Yes
PT;A285;Turdus philomelos;Yes
CY;A285;Turdus philomelos;Yes
ES;A285;Turdus philomelos;Yes
RO;A285;Turdus philomelos;Yes
GR;A286;Turdus iliacus;Yes
FR;A286;Turdus iliacus;Yes
IT;A286;Turdus iliacus;Yes
MT;A286;Turdus iliacus;Yes
PT;A286;Turdus iliacus;Yes
CY;A286;Turdus iliacus;Yes
ES;A286;Turdus iliacus;Yes
RO;A286;Turdus iliacus;Yes
GR;A287;Turdus viscivorus;Yes
FR;A287;Turdus viscivorus;Yes
MT;A287;Turdus viscivorus;Yes
PT;A287;Turdus viscivorus;Yes
CY;A287;Turdus viscivorus;Yes
ES;A287;Turdus viscivorus;Yes
RO;A287;Turdus viscivorus;Yes
FR;A342;Garrulus glandarius;Yes
HR;A342;Garrulus glandarius;Yes
IT;A342;Garrulus glandarius;Yes
LU;A342;Garrulus glandarius;No
NL;A342;Garrulus glandarius;No
PT;A342;Garrulus glandarius;No
UK;A342;Garrulus glandarius;No
HU;A342;Garrulus glandarius;Yes
RO;A342;Garrulus glandarius;Yes
SE;A342;Garrulus glandarius;Yes
SI;A342;Garrulus glandarius;Yes
SK;A342;Garrulus glandarius;Yes
BE;A342;Garrulus glandarius;Yes
DE;A342;Garrulus glandarius;Yes
DK;A342;Garrulus glandarius;No
GR;A343;Pica pica;Yes
FI;A343;Pica pica;Yes
FR;A343;Pica pica;Yes
HR;A343;Pica pica;Yes
IT;A343;Pica pica;Yes
LU;A343;Pica pica;No
ES;A343;Pica pica;Yes
UK;A343;Pica pica;No
HU;A343;Pica pica;Yes
RO;A343;Pica pica;Yes
BE;A343;Pica pica;Yes
BG;A343;Pica pica;Yes
CY;A343;Pica pica;Yes
CZ;A343;Pica pica;Yes
DE;A343;Pica pica;Yes
DK;A343;Pica pica;No
LV;A343;Pica pica;Yes
NL;A343;Pica pica;No
PT;A343;Pica pica;Yes
SE;A343;Pica pica;Yes
SI;A343;Pica pica;Yes
SK;A343;Pica pica;Yes
GR;A347;Corvus monedula;Yes
FI;A347;Corvus monedula;Yes
HR;A347;Corvus monedula;Yes
NL;A347;Corvus monedula;No
SE;A347;Corvus monedula;Yes
BG;A347;Corvus monedula;Yes
CY;A347;Corvus monedula;Yes
ES;A347;Corvus monedula;Yes
UK;A347;Corvus monedula;No
RO;A347;Corvus monedula;Yes
FR;A348;Corvus frugilegus;Yes
HR;A348;Corvus frugilegus;Yes
LT;A348;Corvus frugilegus;Yes
SE;A348;Corvus frugilegus;Yes
BG;A348;Corvus frugilegus;Yes
EE;A348;Corvus frugilegus;Yes
SK;A348;Corvus frugilegus;Yes
UK;A348;Corvus frugilegus;No
HU;A348;Corvus frugilegus;No
RO;A348;Corvus frugilegus;Yes
GR;A349;Corvus corone;No
FI;A349;Corvus corone;Yes
FR;A349;Corvus corone;Yes
HR;A349;Corvus corone;Yes
IT;A349;Corvus corone;Yes
LT;A349;Corvus corone;Yes
EE;A349;Corvus corone;Yes
ES;A349;Corvus corone;Yes
SK;A349;Corvus corone;Yes
UK;A349;Corvus corone;No
HU;A349;Corvus corone;Yes
RO;A349;Corvus corone;Yes
BE;A349;Corvus corone;Yes
BG;A349;Corvus corone;Yes
CY;A349;Corvus corone;Yes
CZ;A349;Corvus corone;Yes
DE;A349;Corvus corone;Yes
DK;A349;Corvus corone;No
LU;A349;Corvus corone;No
LV;A349;Corvus corone;Yes
NL;A349;Corvus corone;No
PT;A349;Corvus corone;Yes
SE;A349;Corvus corone;Yes
SI;A349;Corvus corone;Yes
GR;A351;Sturnus vulgaris;Yes
FR;A351;Sturnus vulgaris;Yes
MT;A351;Sturnus vulgaris;Yes
PT;A351;Sturnus vulgaris;No
BG;A351;Sturnus vulgaris;No
CY;A351;Sturnus vulgaris;No
ES;A351;Sturnus vulgaris;Yes
ES;A351;Sturnus vulgaris;No
HU;A351;Sturnus vulgaris;No
RO;A351;Sturnus vulgaris;Yes
GR;A394;Anser albifrons albifrons;Yes
LT;A394;Anser albifrons albifrons;Yes
LV;A394;Anser albifrons albifrons;Yes
NL;A394;Anser albifrons albifrons;No
SE;A394;Anser albifrons albifrons;Yes
PL;A394;Anser albifrons albifrons;Yes
EE;A394;Anser albifrons albifrons;Yes
SK;A394;Anser albifrons albifrons;Yes
UK;A394;Anser albifrons albifrons;Yes
HU;A394;Anser albifrons albifrons;Yes
RO;A394;Anser albifrons albifrons;Yes
BE;A394;Anser albifrons albifrons;No
BG;A394;Anser albifrons albifrons;Yes
CY;A394;Anser albifrons albifrons;Yes
CZ;A394;Anser albifrons albifrons;Yes
DE;A394;Anser albifrons albifrons;Yes
DK;A394;Anser albifrons albifrons;Yes
IE;A395;Anser albifrons flavirostris;No
UK;A395;Anser albifrons flavirostris;Yes
GR;A411;Alectoris chukar;Yes
BG;A411;Alectoris chukar;Yes
CY;A411;Alectoris chukar;Yes
HR;A411-X;Alectoris chukar;Yes
IT;A413;Alectoris graeca whitakeri;Yes
IT;A414;Perdix perdix italica;No
FR;A415;Perdix perdix hispaniensis;Yes
ES;A415;Perdix perdix hispaniensis;Yes
PT;A421;Columba palumbus azorica;No
HU;A459;Larus cachinnans;No
AT;A460-X;Meleagris gallopavo;Yes
CZ;A460-X;Meleagris gallopavo;No
DE;A460-X;Meleagris gallopavo;Yes
FI;A461;Lagopus lagopus lagopus;Yes
SE;A461;Lagopus lagopus lagopus;Yes
IE;A463;Lagopus lagopus hibernica;Yes
UK;A463;Lagopus lagopus hibernica;Yes
DE;A489;Larus fuscus all others;Yes
DK;A489;Larus fuscus all others;No
ES;A604;Larus michahellis;No
ES;A604;Larus michahellis;No
ES;A604;Larus michahellis;No
ES;A604;Larus michahellis;No
HU;A604;Larus michahellis;No
FR;A614-A;Limosa limosa limosa;No
DK;A614-A;Limosa limosa limosa;No
GR;A644;Perdix perdix all others;No
FI;A644;Perdix perdix all others;Yes
FR;A644;Perdix perdix all others;Yes
HR;A644;Perdix perdix all others;Yes
UK;A644;Perdix perdix all others;Yes
HU;A644;Perdix perdix all others;Yes
RO;A644;Perdix perdix all others;Yes
CZ;A644;Perdix perdix all others;No
DE;A644;Perdix perdix all others;Yes
DK;A644;Perdix perdix all others;No
EE;A644;Perdix perdix all others;Yes
SK;A644;Perdix perdix all others;Yes
SI;A644;Perdix perdix all others;Yes
AT;A644;Perdix perdix all others;Yes
BE;A644;Perdix perdix all others;Yes
BG;A644;Perdix perdix all others;Yes
NL;A644;Perdix perdix all others;No
SE;A644;Perdix perdix all others;Yes
PL;A644;Perdix perdix all others;Yes
IE;A644;Perdix perdix all others;No
IT;A644;Perdix perdix all others;Yes
LT;A644;Perdix perdix all others;No
LU;A644;Perdix perdix all others;No
LV;A644;Perdix perdix all others;No
FI;A659;Tetrao urogallus all others;Yes
FR;A659;Tetrao urogallus all others;No
IT;A659;Tetrao urogallus all others;No
LV;A659;Tetrao urogallus all others;Yes
SE;A659;Tetrao urogallus all others;Yes
AT;A659;Tetrao urogallus all others;No
BG;A659;Tetrao urogallus all others;Yes
DE;A659;Tetrao urogallus all others;No
UK;A659;Tetrao urogallus all others;No
RO;A659;Tetrao urogallus all others;Yes
FR;A661;Tetrao urogallus aquitanicus;Yes
DE;A674-B;Branta bernicla hrota;Yes
DK;A674-B;Branta bernicla hrota;No
DE;A675;Branta bernicla bernicla;Yes
DK;A675;Branta bernicla bernicla;No
GR;A687;Columba palumbus palumbus;Yes
FI;A687;Columba palumbus palumbus;Yes
FR;A687;Columba palumbus palumbus;Yes
HR;A687;Columba palumbus palumbus;Yes
IE;A687;Columba palumbus palumbus;No
IT;A687;Columba palumbus palumbus;Yes
SK;A687;Columba palumbus palumbus;Yes
UK;A687;Columba palumbus palumbus;No
HU;A687;Columba palumbus palumbus;Yes
RO;A687;Columba palumbus palumbus;Yes
CY;A687;Columba palumbus palumbus;Yes
CZ;A687;Columba palumbus palumbus;Yes
DE;A687;Columba palumbus palumbus;Yes
DK;A687;Columba palumbus palumbus;No
EE;A687;Columba palumbus palumbus;Yes
ES;A687;Columba palumbus palumbus;Yes
SE;A687;Columba palumbus palumbus;Yes
PL;A687;Columba palumbus palumbus;Yes
SI;A687;Columba palumbus palumbus;No
AT;A687;Columba palumbus palumbus;Yes
BE;A687;Columba palumbus palumbus;Yes
BG;A687;Columba palumbus palumbus;Yes
LT;A687;Columba palumbus palumbus;Yes
LU;A687;Columba palumbus palumbus;Yes
LV;A687;Columba palumbus palumbus;Yes
MT;A687;Columba palumbus palumbus;Yes
NL;A687;Columba palumbus palumbus;No
PT;A687;Columba palumbus palumbus;Yes
FI;A701;Anser fabalis fabalis;Yes
UK;A701;Anser fabalis fabalis;No
DK;A701;Anser fabalis fabalis;Yes
EE;A701;Anser fabalis fabalis;Yes
DE;A701;Anser fabalis fabalis;Yes
BE;A701;Anser fabalis fabalis;No
SE;A701;Anser fabalis fabalis;Yes
PL;A701;Anser fabalis fabalis;Yes
LV;A701;Anser fabalis fabalis;Yes
NL;A701;Anser fabalis fabalis;No
LT;A701;Anser fabalis fabalis;No
GR;A702;Anser fabalis rossicus;No
FI;A702;Anser fabalis rossicus;No
FR;A702;Anser fabalis rossicus;Yes
HU;A702;Anser fabalis rossicus;Yes
RO;A702;Anser fabalis rossicus;No
DE;A702;Anser fabalis rossicus;Yes
DK;A702;Anser fabalis rossicus;Yes
EE;A702;Anser fabalis rossicus;No
SK;A702;Anser fabalis rossicus;Yes
UK;A702;Anser fabalis rossicus;No
AT;A702;Anser fabalis rossicus;No
BE;A702;Anser fabalis rossicus;No
BG;A702;Anser fabalis rossicus;No
CZ;A702;Anser fabalis rossicus;Yes
LV;A702;Anser fabalis rossicus;Yes
NL;A702;Anser fabalis rossicus;No
SE;A702;Anser fabalis rossicus;Yes
PL;A702;Anser fabalis rossicus;Yes
SI;A702;Anser fabalis rossicus;No
HR;A702;Anser fabalis rossicus;Yes
HR;A702;Anser fabalis rossicus;Yes
IT;A702;Anser fabalis rossicus;No
LT;A702;Anser fabalis rossicus;Yes
LU;A702;Anser fabalis rossicus;No
UK;A711;Lagopus lagopus scotica;Yes
FR;A712;Lagopus muta pyrenaica;Yes
ES;A712;Lagopus muta pyrenaica;No
FR;A713;Lagopus muta helvetica;Yes
IT;A713;Lagopus muta helvetica;Yes
SI;A713;Lagopus muta helvetica;No
AT;A713;Lagopus muta helvetica;Yes
DE;A713;Lagopus muta helvetica;No
CY;A716;Francolinus francolinus francolinus;Yes
FR;A768;Numenius arquata arquata;Yes
IE;A768;Numenius arquata arquata;No
IE;A768;Numenius arquata arquata;No
DK;A768;Numenius arquata arquata;No
DK;A768;Numenius arquata arquata;No
UK;A768;Numenius arquata arquata;No
UK;A768;Numenius arquata arquata;No
GR;A855;Mareca penelope;Yes
FI;A855;Mareca penelope;Yes
FR;A855;Mareca penelope;Yes
HR;A855;Mareca penelope;No
HR;A855;Mareca penelope;No
IE;A855;Mareca penelope;Yes
UK;A855;Mareca penelope;No
UK;A855;Mareca penelope;Yes
HU;A855;Mareca penelope;No
RO;A855;Mareca penelope;Yes
CZ;A855;Mareca penelope;No
CZ;A855;Mareca penelope;No
DE;A855;Mareca penelope;Yes
DK;A855;Mareca penelope;Yes
EE;A855;Mareca penelope;Yes
ES;A855;Mareca penelope;Yes
SI;A855;Mareca penelope;No
SK;A855;Mareca penelope;No
AT;A855;Mareca penelope;Yes
BE;A855;Mareca penelope;Yes
BG;A855;Mareca penelope;Yes
CY;A855;Mareca penelope;Yes
PT;A855;Mareca penelope;Yes
SE;A855;Mareca penelope;Yes
PL;A855;Mareca penelope;No
PL;A855;Mareca penelope;No
PL;A855;Mareca penelope;No
PT;A855;Mareca penelope;Yes
IT;A855;Mareca penelope;Yes
LT;A855;Mareca penelope;No
LV;A855;Mareca penelope;Yes
MT;A855;Mareca penelope;Yes
NL;A855;Mareca penelope;No
NL;A855;Mareca penelope;No
GR;A856;Spatula querquedula;Yes
FI;A856;Spatula querquedula;Yes
FR;A856;Spatula querquedula;Yes
HR;A856;Spatula querquedula;Yes
HR;A856;Spatula querquedula;Yes
IE;A856;Spatula querquedula;No
ES;A856;Spatula querquedula;Yes
UK;A856;Spatula querquedula;No
HU;A856;Spatula querquedula;No
RO;A856;Spatula querquedula;Yes
BG;A856;Spatula querquedula;Yes
CY;A856;Spatula querquedula;Yes
CZ;A856;Spatula querquedula;No
DE;A856;Spatula querquedula;No
DK;A856;Spatula querquedula;No
EE;A856;Spatula querquedula;Yes
SE;A856;Spatula querquedula;No
PL;A856;Spatula querquedula;No
SI;A856;Spatula querquedula;No
SK;A856;Spatula querquedula;No
AT;A856;Spatula querquedula;Yes
BE;A856;Spatula querquedula;No
IT;A856;Spatula querquedula;Yes
LT;A856;Spatula querquedula;Yes
LU;A856;Spatula querquedula;No
LV;A856;Spatula querquedula;Yes
MT;A856;Spatula querquedula;Yes
NL;A856;Spatula querquedula;No
GR;A857;Spatula clypeata;Yes
FI;A857;Spatula clypeata;Yes
FR;A857;Spatula clypeata;Yes
HR;A857;Spatula clypeata;No
HR;A857;Spatula clypeata;No
UK;A857;Spatula clypeata;No
UK;A857;Spatula clypeata;Yes
HU;A857;Spatula clypeata;No
HU;A857;Spatula clypeata;No
RO;A857;Spatula clypeata;Yes
DK;A857;Spatula clypeata;No
EE;A857;Spatula clypeata;Yes
ES;A857;Spatula clypeata;Yes
ES;A857;Spatula clypeata;Yes
BG;A857;Spatula clypeata;No
CY;A857;Spatula clypeata;Yes
CZ;A857;Spatula clypeata;No
CZ;A857;Spatula clypeata;No
DE;A857;Spatula clypeata;No
BE;A857;Spatula clypeata;No
BE;A857;Spatula clypeata;No
BE;A857;Spatula clypeata;No
BG;A857;Spatula clypeata;No
BG;A857;Spatula clypeata;No
PL;A857;Spatula clypeata;No
PT;A857;Spatula clypeata;No
SI;A857;Spatula clypeata;No
SI;A857;Spatula clypeata;No
SK;A857;Spatula clypeata;No
AT;A857;Spatula clypeata;Yes
PT;A857;Spatula clypeata;Yes
SE;A857;Spatula clypeata;No
SE;A857;Spatula clypeata;No
PL;A857;Spatula clypeata;No
MT;A857;Spatula clypeata;Yes
NL;A857;Spatula clypeata;No
NL;A857;Spatula clypeata;No
NL;A857;Spatula clypeata;No
IE;A857;Spatula clypeata;Yes
IT;A857;Spatula clypeata;Yes
LT;A857;Spatula clypeata;No
LT;A857;Spatula clypeata;No
LV;A857;Spatula clypeata;Yes
FR;A861;Calidris pugnax;Yes
IT;A861;Calidris pugnax;No
MT;A861;Calidris pugnax;Yes
FI;A876;Lyrurus tetrix tetrix;Yes
FR;A876;Lyrurus tetrix tetrix;Yes
IT;A876;Lyrurus tetrix tetrix;Yes
LV;A876;Lyrurus tetrix tetrix;Yes
SE;A876;Lyrurus tetrix tetrix;Yes
AT;A876;Lyrurus tetrix tetrix;No
BE;A876;Lyrurus tetrix tetrix;No
DE;A876;Lyrurus tetrix tetrix;No
UK;A877;Lyrurus tetrix britannicus;Yes
GR;A878;Alectoris graeca all others;Yes
FR;A878;Alectoris graeca all others;Yes
HR;A878;Alectoris graeca all others;Yes
DE;A878;Alectoris graeca all others;No
AT;A878;Alectoris graeca all others;No
BG;A878;Alectoris graeca all others;Yes
SI;A878;Alectoris graeca all others;No
IT;A878;Alectoris graeca all others;Yes
GR;A889;Mareca strepera;No
GR;A889;Mareca strepera;No
FI;A889;Mareca strepera;No
FR;A889;Mareca strepera;Yes
HR;A889;Mareca strepera;No
HR;A889;Mareca strepera;No
SK;A889;Mareca strepera;No
UK;A889;Mareca strepera;Yes
UK;A889;Mareca strepera;No
HU;A889;Mareca strepera;No
HU;A889;Mareca strepera;No
RO;A889;Mareca strepera;Yes
CZ;A889;Mareca strepera;No
DE;A889;Mareca strepera;Yes
DK;A889;Mareca strepera;No
EE;A889;Mareca strepera;Yes
ES;A889;Mareca strepera;Yes
ES;A889;Mareca strepera;Yes
BE;A889;Mareca strepera;No
BG;A889;Mareca strepera;No
BG;A889;Mareca strepera;No
BG;A889;Mareca strepera;No
CY;A889;Mareca strepera;Yes
CZ;A889;Mareca strepera;No
PL;A889;Mareca strepera;No
SI;A889;Mareca strepera;No
SI;A889;Mareca strepera;No
AT;A889;Mareca strepera;Yes
BE;A889;Mareca strepera;No
BE;A889;Mareca strepera;No
LV;A889;Mareca strepera;Yes
NL;A889;Mareca strepera;No
NL;A889;Mareca strepera;No
PT;A889;Mareca strepera;Yes
SE;A889;Mareca strepera;No
PL;A889;Mareca strepera;No
HR;A889;Mareca strepera;No
IE;A889;Mareca strepera;Yes
IT;A889;Mareca strepera;Yes
LT;A889;Mareca strepera;No
LT;A889;Mareca strepera;No
LU;A889;Mareca strepera;No
FI;A890;Larus argentatus argentatus;Yes
LV;A890;Larus argentatus argentatus;No
SE;A890;Larus argentatus argentatus;Yes
BE;A890;Larus argentatus argentatus;No
DE;A890;Larus argentatus argentatus;Yes
DK;A890;Larus argentatus argentatus;No
EE;A890;Larus argentatus argentatus;Yes
FI;A891;Lagopus muta all others;No
SE;A891;Lagopus muta all others;Yes
UK;A891;Lagopus muta all others;Yes
BE;A895;Larus argentatus argenteus;No
BE;A895;Larus argentatus argenteus;No
DE;A895;Larus argentatus argenteus;No
FI;A900;Melanitta nigra s. str.;No
FI;A900;Melanitta nigra s. str.;No
FI;A900;Melanitta nigra s. str.;No
FR;A900;Melanitta nigra s. str.;Yes
FR;A900;Melanitta nigra s. str.;Yes
DK;A900;Melanitta nigra s. str.;Yes
EE;A900;Melanitta nigra s. str.;Yes
UK;A900;Melanitta nigra s. str.;No
UK;A900;Melanitta nigra s. str.;No
IE;A900;Melanitta nigra s. str.;No
IE;A900;Melanitta nigra s. str.;No
LV;A900;Melanitta nigra s. str.;Yes
SE;A900;Melanitta nigra s. str.;Yes
GIB;A900;Melanitta nigra s. str.;No
DE;A900;Melanitta nigra s. str.;Yes